Gene,liver_nTPM_value,Classification,RNA tissue specific nTPM,Tissue expression cluster
MT1M,548.4,liver protein (nTPM + cluster),adipose tissue: 386.1;liver: 548.4,Cluster 69: Liver - Oxidoreductase activity
COL18A1,548.3,liver protein (all 3),liver: 548.3,Cluster 83: Liver - Metabolism
MT1F,548.2,liver protein (nTPM + cluster),kidney: 548.8;liver: 548.2;thyroid gland: 1147.1,Cluster 1: Liver & Kidney - Metabolism
TST,547.5,liver protein (all 3),liver: 547.5,Cluster 83: Liver - Metabolism
SLC39A14,537.7,liver protein (nTPM + cluster),liver: 537.7;pancreas: 245.4,Cluster 83: Liver - Metabolism
SERPINA4,533.2,liver protein (all 3),liver: 533.2,Cluster 83: Liver - Metabolism
ALAS1,532.3,liver protein (nTPM + cluster),adrenal gland: 697.9;bone marrow: 174.6;liver: 532.3,Cluster 83: Liver - Metabolism
GLYATL1,527.0,liver protein (all 3),kidney: 135.0;liver: 527.0,Cluster 1: Liver & Kidney - Metabolism
SLCO1B1,521.0,liver protein (all 3),liver: 521.0,Cluster 31: Liver - Plasma proteins
IDH1,520.1,liver protein (all 3),liver: 520.1,Cluster 83: Liver - Metabolism
PON1,516.3,liver protein (all 3),liver: 516.3,Cluster 31: Liver - Plasma proteins
ACSM2B,510.9,liver protein (all 3),kidney: 399.0;liver: 510.9,Cluster 1: Liver & Kidney - Metabolism
BCHE,508.2,liver protein (all 3),liver: 508.2,Cluster 83: Liver - Metabolism
SPP2,502.9,liver protein (all 3),liver: 502.9,Cluster 31: Liver - Plasma proteins
CYP1A2,495.9,liver protein (all 3),liver: 495.9,Cluster 31: Liver - Plasma proteins
PIPOX,491.1,liver protein (all 3),kidney: 140.6;liver: 491.1,Cluster 1: Liver & Kidney - Metabolism
C8A,481.7,liver protein (all 3),liver: 481.7,Cluster 31: Liver - Plasma proteins
ETFB,481.4,liver protein (nTPM + enrichment),liver: 481.4,Cluster 23: Non-specific - Cellular respiration
ST6GAL1,480.8,liver protein (all 3),liver: 480.8;lymphoid tissue: 143.9,Cluster 83: Liver - Metabolism
SERPINA11,475.6,liver protein (all 3),liver: 475.6,Cluster 31: Liver - Plasma proteins
SDC1,472.9,liver protein (nTPM + cluster),esophagus: 477.8;liver: 472.9;skin 1: 433.6,Cluster 37: Liver & Intestine - Lipid metabolism
AKR1C2,469.5,liver protein (nTPM + cluster),adipose tissue: 330.8;liver: 469.5,Cluster 83: Liver - Metabolism
C2,466.0,liver protein (all 3),liver: 466.0,Cluster 83: Liver - Metabolism
CIDEB,464.9,liver protein (nTPM + cluster),intestine: 181.2;liver: 464.9,Cluster 37: Liver & Intestine - Lipid metabolism
RNASE4,463.8,liver protein (all 3),liver: 463.8,Cluster 83: Liver - Metabolism
DPYS,463.1,liver protein (all 3),kidney: 192.1;liver: 463.1,Cluster 1: Liver & Kidney - Metabolism
EFNA1,461.3,liver protein (nTPM + cluster),liver: 461.3,Cluster 83: Liver - Metabolism
C4BPB,458.6,liver protein (nTPM + cluster),liver: 458.6,Cluster 31: Liver - Plasma proteins
SDC2,445.9,liver protein (all 3),liver: 445.9;thyroid gland: 411.6,Cluster 1: Liver & Kidney - Metabolism
VKORC1,443.7,liver protein (nTPM + cluster),liver: 443.7,Cluster 83: Liver - Metabolism
C5,434.4,liver protein (all 3),liver: 434.4,Cluster 83: Liver - Metabolism
AGPAT2,434.1,liver protein (nTPM + cluster),adipose tissue: 357.5;liver: 434.1,Cluster 83: Liver - Metabolism
ALDH4A1,426.0,liver protein (all 3),kidney: 193.4;liver: 426.0,Cluster 1: Liver & Kidney - Metabolism
HABP2,424.0,liver protein (all 3),liver: 424.0,Cluster 31: Liver - Plasma proteins
MT1A,420.0,liver protein (nTPM + cluster),adipose tissue: 472.3;liver: 420.0,Cluster 11: Liver - Plasma proteins
SLC22A7,417.7,liver protein (all 3),liver: 417.7,Cluster 1: Liver & Kidney - Metabolism
BHMT2,416.7,liver protein (all 3),kidney: 321.0;liver: 416.7,Cluster 1: Liver & Kidney - Metabolism
PCBD1,415.8,liver protein (all 3),liver: 415.8,Cluster 83: Liver - Metabolism
SLC10A1,413.9,liver protein (all 3),liver: 413.9,Cluster 31: Liver - Plasma proteins
AKR1D1,413.9,liver protein (all 3),liver: 413.9,Cluster 31: Liver - Plasma proteins
HAO2,412.4,liver protein (all 3),kidney: 292.3;liver: 412.4,Cluster 1: Liver & Kidney - Metabolism
ECI2,409.6,liver protein (nTPM + enrichment),liver: 409.6,Cluster 53: Non-specific - Glycosylation
CREB3L3,405.1,liver protein (nTPM + cluster),intestine: 250.0;liver: 405.1,Cluster 37: Liver & Intestine - Lipid metabolism
APOF,404.0,liver protein (all 3),liver: 404.0,Cluster 31: Liver - Plasma proteins
SLC13A5,403.8,liver protein (nTPM + cluster),liver: 403.8,Cluster 83: Liver - Metabolism
SDC4,398.7,liver protein (nTPM + cluster),liver: 398.7,Cluster 37: Liver & Intestine - Lipid metabolism
CYP8B1,392.2,liver protein (all 3),liver: 392.2,Cluster 31: Liver - Plasma proteins
SEPHS2,390.4,liver protein (all 3),liver: 390.4,Cluster 37: Liver & Intestine - Lipid metabolism
SHMT1,388.8,liver protein (all 3),kidney: 162.0;liver: 388.8,Cluster 1: Liver & Kidney - Metabolism
REEP6,388.3,liver protein (nTPM + enrichment),intestine: 211.2;liver: 388.3;testis: 276.0,Cluster 46: Testis - Spermatogenesis
